,Job ID,JD Company,JD Title ( Eng ),JD Level,JD YOE Min,JD Location,JD Gross Salary Max*,JD Due Date,JD Working Hour,JD Note,JD Details
0,3162,Shinhan Bank Vietnam,Data Analytics Supervisor,"Senior, Lead",2.0,HCM,"1,06",1-Jul-23,Fulltime,"Experience in SQL, PowerBI is compulsory",https://www.topcv.vn/viec-lam/data-analytics-supervisor-hcm/1033042.html
1,3161,ASIM Telecom ( ASIM GROUP ),Data Engineer,Senior,4.0,"HN, HCM","2,5",Tới khi đóng link,Fulltime,Tối thiểu 4 năm kinh nghiệm trở lên về xử lý và phân tích số liệu,https://www.linkedin.com/jobs/view/133284146
2,3159,PREP,"Leader, AI Engineer","Senior, Lead",3.0,HN,3,Tới khi đóng link,Fulltime,Minimum of 3 years of experience in a similar role,https://careers.prep.vn/job/leader-ai-engineer/
3,3158,HBLAB,AI Engineer,"Junior, Senior",2.0,HN,"2,2",Tới khi đóng link,Fulltime,"Tối thiểu 2 năm kinh nghiệm thực tế trong các dự án lĩnh vực Computer Vision (Object Detection, Segmentation, GAN, OCR …)",https://hblab.vn/recruit/ai-specialists/
4,3157,Neos,AI Engineer,"Junior, Senior",0.0,HN,3,16-Jul-23,Fulltime,"Có kiến thức, kinh nghiệm cơ bản về ChatGPT và các công nghệ AI tổng quát khác; Thực hiện xử lý phân tích dữ liệu bằng Python",https://jobsgo.vn/viec-lam/ai-engineer-15334112908.html
5,3155,Savills,Data Engineer,"Junior, Senior",0.0,Hong Kong,3,Tới khi đóng link,Fulltime,"Experience in relevant domain (CRM, Big Data, Business Intelligence, Analytics Reporting).",https://www.savills.com.vn/talk-to-us/careers/current-vacancies/hcmc-vacancies/(it-hk)-data-engineer.aspx
6,3150,VNG Corporation,"ZaloPay, Senior Data Scientist",Senior,5.0,HCM,3,Tới khi đóng link,Fulltime,5+ years relevant work experience with large amounts of data,https://itviec.com/it-jobs/zalopay-senior-data-scientist-vng-corporation-3206
7,3138,HSBC,Risk Screening Officer,"Junior, Senior",2.0,HCM,"2,2",30-Jun-23,Fulltime Hybrid,"Ability to maintain focus while working with voluminous data; AML Compliance awareness relating to Money Laundering, Crime and Terrorism; 2 to 3 years of work experience",https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Risk-Screening-Officer/178749
8,3137,B.Braun Vietnam,Fresher - Supply Chain,"Internship, Fresher, Junior*",0.0,HN,650,Tới khi đóng link,Fulltime,Final year student or fresh graduated less than one year of working experience; Successful candidates will join a development stint with professional career and coaching plan within chosen department.,https://glints.com/vn/opportunities/jobs/fresh-speed-up-2023-program-for-fresher-supply-chain/f552866a-1c4b-4ad8-aaad-643e2aa1d7ac
9,3136,B.Braun Vietnam,Fresher - Accounting & Finance,"Internship, Fresher, Junior*",0.0,HN,650,Tới khi đóng link,Fulltime,Final year student or fresh graduated less than one year of working experience; Successful candidates will join a development stint with professional career and coaching plan within chosen department.,https://glints.com/vn/opportunities/jobs/fresh-speed-up-2023-program-for-fresher-accounting-and-finance/0676cb65-d957-453a-9323-bb2d4f9f25df
10,3135,B.Braun Vietnam,Fresher - Planning,"Internship, Fresher, Junior*",0.0,HN,650,Tới khi đóng link,Fulltime,Final year student or fresh graduated less than one year of working experience; Successful candidates will join a development stint with professional career and coaching plan within chosen department.,https://glints.com/vn/opportunities/jobs/fresh-speed-up-2023-program-for-fresher-planning/02320e00-bf18-4ed1-bbf4-e55e9760b537
11,3134,GBG Group Services,Data Validator,"Fresher, Junior",0.0,HCM,425,31-Jul-23,Fulltime,Responsible for ensuring the accuracy and consistency of data related to orders and payments.,https://www.topcv.vn/viec-lam/data-validator-junior-work-in-district-7-salary-10-000-000-vnd/1032656.html
12,3130,Noventiq,Sales Analyst Intern,"Internship, Fresher",0.0,"HCM, Remote*",125,Tới khi đóng link,"Fulltime, Part-time","3rd/4th-year students or fresher to 6 months experience; Flexible working time, WFH is applicable; Fluency in Excel and BI tools (Power BI practice is an advantage).",https://jobs.jobvite.com/noventiq/job/otYunfw2
13,3129,RGF's Client,Marketing Specialist ( Data and Research ) - Electronics,"Junior, Senior",2.0,HCM,"1,145",Tới khi đóng link,Fulltime,Experience in Power BI and DAX queries is plus; At least 2 years experience.,https://www.rgf-hragent.asia/en/vietnam/marketing-specialist-data-and-research-electronics--SDG-94788
14,3128,Finhay,Data Scientist,"Junior, Senior",0.0,HN,3,Tới khi đóng link,Fulltime,Proven experience in applying machine learning techniques to large datasets.,https://www.finhay.com.vn/tuyen-dung/data-scientist
15,3127,Unravel Carbon,Data Engineer,"Fresher*, Junior, Senior",0.0,HCM,3,Tới khi đóng link,Fulltime,1-3 years of experience in data engineering/software engineering roles or are a new graduate with extensive internship experience in these roles.,https://www.linkedin.com/jobs/view/data-engineer-ho-chi-minh-at-unravel-carbon-yc-w22-3618201449
16,3126,AB InBev,Reporting & Performance Manager,Manager,5.0,HCM,3,Tới khi đóng link,Fulltime,"5 years & above experiences in data & management reporting (e.g., Business Analysis, Management Accountant, Data analyst) with minimum 2 years in managerial role is a must.",https://www.linkedin.com/jobs/view/3617645496
17,3125,Shopee,"Risk Analyst - Risk Management, Shopee Express",Senior,1.0,HCM,2,Tới khi đóng link,Fulltime,Proficient in Excel (Advance level); Have at least 1 year working experience in Fraud Detection/Fraud Prevention.,https://careers.shopee.sg/job-detail/J00240611/1
18,3124,New Viet Dairy,Finance Analyst Supervisor,"Senior, Lead",3.0,HCM,"2,2",Tới khi đóng link,Fulltime,Proven BI experience in MS SQL (+++) and visualization tools such as Excel (++); At least 3 years of experience,https://www.linkedin.com/jobs/view/3617622993
19,3123,HCLTech Vietnam,GCP Cloud Data Engineer,Senior,3.0,HCM,"3,53",Tới khi đóng link,Fulltime Hybrid,From 3-8 years of experience as Data Engineer,https://www.linkedin.com/jobs/view/3617657249
20,3122,Lazada,Operations Analyst - LazMall,"Fresher*, Junior, Senior",0.0,HN,"2,5",Tới khi đóng link,Fulltime,"Have passion for data analytics, research or project management; Experience writing custom queries in SQL or other SQL-based languages is a plus.",https://lazada.com/en/careers/job-description/GP1011806/
21,3121,TV TPI,Data Analyst,Senior,3.0,HCM,"2,2",30-Jun-23,Fulltime,"Hơn 3 năm kinh nghiệm trong lĩnh vực phân tích dữ liệu, tốt nhất là trong ngành dược phẩm.",https://vieclamtphcm.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-kinh-doanh-duoc-pham-11805.html
22,3120,GHN,Finance Analyst Specialist,Senior,5.0,HCM,"2,2",Tới khi đóng link,Fulltime,Tối thiểu 5 năm kinh nghiệm ở vị trí tương đương (Corporate Finance),https://www.linkedin.com/jobs/view/finance-analyst-specialist-at-giaohangnhanh-ghn-3617657342
23,3118,Sacombank,Database Administrator ( DBA ),"Fresher, Junior",0.0,HCM,"1,25",Tới khi đóng link,Fulltime,Tốt nghiệp Đại học các chuyên ngành về công nghệ thông tin.,https://sacombankcareer.com/job/*/14013244
24,3117,U&I Logistics,Data Analyst | Market Intelligence,Senior,3.0,HCM,"1,6",30-Jun-23,Fulltime,"Có khả năng sử dụng các công cụ quản lý dữ liệu.Ưu tiên ứng viên có khả năng báo cáo, phân tích sử dụng đa công cụ (Excel, Power BI tools…)",https://www.topcv.vn/viec-lam/nhan-vien-phan-tich-kinh-doanh-data-analyst/983460.html
25,3116,Barsan Global Logistics,Data Analyst,"Junior, Senior",1.0,HCM,900,30-Jun-23,Fulltime,1-2 years of experience in similar position,https://www.vietnamworks.com/data-analyst-223-1655208-jv
