Job ID,JD Company,JD Title ( Eng ),JD Level,JD YOE Min,JD Location,JD Gross Salary Max*,JD Due Date,JD Working Hour,JD Note,JD Details,JD Title ( Vie )
3165,Undisclosed,"Leader, Data Engineer","Senior, Lead",,HN,,Tới khi đóng link,Fulltime,Hà Nội tuyển dụng tech leader Data Engineer Good EN join dự án Key. Offer tốt,https://www.facebook.com/groups/datanalyticsvn/posts/3193204517639509,
3164,Abbott,Market Analyses And Business Intelligence Manager,Manager,8,HCM,4,Tới khi đóng link,Fulltime,"Minimum 8 years; Proven experience in business analytics, business intelligence, market research.",https://abbott.wd5.myworkdayjobs.com/en-US/abbottcareers/job/Vietnam---Ho-Chi-Minh-City/Market-Analyses-and-Business-Intelligence-Manager---Abbott-Pharmaceuticals_31048960,
2839,TEAM DATAJOBS,Data & Domain Mentor,"Junior, Senior, Manager, Senior Manager+++",1,Remote,,Tới khi đóng link,"Part-time, Freelance","- Giờ giấc linh hoạt, tự đề xuất mức phí, 100% remote online;
- Từ 1+ năm kinh nghiệm thực tế làm về data với vị trí chính thức ở công ty, trung tâm nghiên cứu,...; 
- Rất chào đón những mentor ở các do",https://docs.google.com/spreadsheets/d/1kCr2PnpUl5ZBPtULtY3TPu8JYFFm3xcebHedKvyJpdk/edit,
3163,Undisclosed,Business Intelligence Analyst,Senior,3,HCM,"2,2",Tới khi đóng link,Fulltime,At least 3 years of experience as BI Analyst,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-start-up-3618940842,
3162,Shinhan Bank Vietnam,Data Analytics Supervisor,"Senior, Lead",2,HCM,"1,06",1-Jul-23,Fulltime,"Experience in SQL, PowerBI is compulsory",https://www.topcv.vn/viec-lam/data-analytics-supervisor-hcm/1033042.html,
3161,ASIM Telecom ( ASIM GROUP ),Data Engineer,Senior,4,"HN, HCM","2,5",Tới khi đóng link,Fulltime,Tối thiểu 4 năm kinh nghiệm trở lên về xử lý và phân tích số liệu,https://www.linkedin.com/jobs/view/133284146,
3160,GHN,Data Analyst,"Junior, Senior",2,HCM,"1,3",Tới khi đóng link,Fulltime,"Strong SQL abilities (2+ years of experience) are necessary, as is the capacity to master new reporting/analytical tools.",https://www.linkedin.com/jobs/view/data-analyst-at-giaohangnhanh-ghn-3624000968,
3159,PREP,"Leader, AI Engineer","Senior, Lead",3,HN,3,Tới khi đóng link,Fulltime,Minimum of 3 years of experience in a similar role,https://careers.prep.vn/job/leader-ai-engineer/,
3158,HBLAB,AI Engineer,"Junior, Senior",2,HN,"2,2",Tới khi đóng link,Fulltime,"Tối thiểu 2 năm kinh nghiệm thực tế trong các dự án lĩnh vực Computer Vision (Object Detection, Segmentation, GAN, OCR …)",https://hblab.vn/recruit/ai-specialists/,
3157,Neos,AI Engineer,"Junior, Senior",,HN,3,16-Jul-23,Fulltime,"Có kiến thức, kinh nghiệm cơ bản về ChatGPT và các công nghệ AI tổng quát khác; Thực hiện xử lý phân tích dữ liệu bằng Python",https://jobsgo.vn/viec-lam/ai-engineer-15334112908.html,
