,Links,Class
0,www.topcv.vn,job-data
1,www.linkedin.com,description__text description__text--rich
2,careers.prep.vn,single-job-listing__description job-description
3,hblab.vn,medium-7 small-12 large-7 left-content-recru
4,jobsgo.vn,content-group
5,www.savills.com.vn,vx_block sv-article__body
6,itviec.com,imy-5 paragraph
7,mycareer.hsbc.com,section__content
8,glints.com,Opportunitysc__JobDescriptionContainer-sc-gb4ubh-6 jiBuLa
9,jobs.jobvite.com,jv-job-detail-description
10,www.rgf-hragent.asia,page-content-block
11,www.finhay.com.vn,box_content
12,careers.shopee.sg,item-wrapper
13,lazada.com,row align-items-start pr-lg-5
14,vieclamtphcm.vn,col-sm-12 col-md-8 job-detail-content
15,sacombankcareer.com,col-xs-12 fontalign-left
16,www.vietnamworks.com,col-md-8 col-sm-12 tab-main-content
17,careers.savvycom.vn,ck-content
18,manpower.com.vn,desc
19,tuyendung.vpbank.com.vn,content_fck
20,careersatagoda.com,jobtitle
21,jobs.smartrecruiters.com,job-sections
22,careers.tiktok.com,block-content
23,www.ogilvy.com,column
24,careerstart.vn,sm-box-detail
25,axpara.com,modal-header
26,www.deltacognition.com,role-section mb-[48px]
27,prudential.wd3.myworkdayjobs.com,
28,elfie.freshteam.com,job-details-content content
29,jobs.hrs.com,col-xs-12 fontalign-left
30,www.pti.com.vn,recruitment-detail-content active
31,careers.tapestry.com,col-xs-12 fontalign-left
32,careers.uobgroup.com,col-xs-12 fontalign-left
33,jobs.gecareers.com,jd-info
34,amperecomputing.com,
35,topdev.vn,left-cont
36,adecco.com.vn,job-details__description__summary
37,www.careerlink.vn,py-3 pt-4
38,freec.asia,text-16-gray
39,sealcommerce.asia,job-content-html
40,careers.frieslandcampina.com,o-col-24 o-col-20-md u-pre-2--md o-col-9--lg
41,manulife.wd3.myworkdayjobs.com,
42,www.techcombankjobs.com,col-xs-12 fontalign-left
43,jobs.rockwellautomation.com,jd-description
44,www.jobs.abbott,container
45,b2xcare.bamboohr.com,
46,manabie.breezy.hr,description
47,tech.ghn.vn,row
48,jobs.lever.co,section page-centered
49,pizzahut.talent.vn,detail-article
